Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
cooking class preparing the base pour the biscuit mixture into prepared,1,2,11,0,0,4,3,0,0
pan press 1/3 of the mixture on the base and the remaining mixture up the,1,1,15,1,2,4,1,0,0
sides of the pan leaving a 2cm gap using the base of a glass press over,1,1,16,1,1,6,2,0,0
base and sides to firm the crumb,2,1,7,0,0,3,1,0,0
nutritional information,2,2,2,0,0,1,0,0,0
nutrition per serving,2,2,3,0,0,1,1,0,0
daily value,2,2,2,0,0,1,0,0,0
nutrition information and health score does not include ingredients listed as,1,2,11,0,0,5,3,0,0
to serve or any serving suggestions,2,1,6,0,0,1,1,0,0
nutrition information is calculated using an ingredient database and should be,1,2,11,0,0,3,4,0,0
considered an estimate,2,1,3,0,0,1,1,0,0
the daily values indicates how much of a nutrient in a food serving,1,2,13,0,0,4,1,0,0
contributes to a daily diet based on general nutritional advice for a diet of,1,1,14,0,0,4,1,0,0
2100 calories a day,2,1,4,1,4,2,0,0,0
health scores are calculated on a 1 10 scale based on nutrient density and usda global standard recommendations for a healthy diet a higher health score indicates a healthier recipe the value is based on the impact of macronutrients and micronutrients in the recipe,2,2,44,1,3,15,7,0,0
popular on taste,2,2,3,0,0,1,0,0,0
1,0,2,1,1,1,0,0,0,0
easy easter slice recipes you have to try https //imgtastecomau/rpitmeiw/w354 h236 cfill q80/taste/2020/04/5 ingredient easter marshmallow bubble slice 160450 1jpg,0,0,20,1,22,9,2,1,0
/assets/static/icons/taste gallery whitesvg,2,0,3,0,0,3,0,0,0
easy easter slice recipes you have to try,2,2,8,0,0,3,2,1,0
2 808 recipes,0,2,3,1,4,1,0,0,0
beef mince recipes https //imgtastecomau/w9bufwcs/w354 h236 cfill q80/taste/2020/01/cheesy taco pasta bake 158055 2jpg,2,0,13,1,22,6,3,0,0
beef mince recipes,2,2,3,0,0,3,0,0,0
3 501 recipes,0,2,3,1,4,1,0,0,0
slow cooker recipes https //imgtastecomau/49lqzjvx/w354 h236 cfill q80/taste/2016/11/slow cooker beef ragu 97437 1jpeg,2,0,13,1,22,6,2,0,0
slow cooker recipes,2,2,3,0,0,2,0,0,0
4,0,2,1,1,1,0,0,0,0
ultimate sides and salads for easter https //imgtastecomau/fjfaedpk/w354 h236 cfill q80/taste/2020/11/web french onion potatoes salt 1 167648 1jpg,0,0,18,1,22,9,2,0,0
/assets/static/icons/taste gallery whitesvg,2,0,3,0,0,3,0,0,0
ultimate sides and salads for easter,2,2,6,0,0,3,0,0,0
5 750 recipes,0,2,3,1,4,1,0,0,0
easter https //imgtastecomau/lp418ccp/w354 h236 cfill q80/taste/2018/02/mar 18 hot cross bun trifle 3000x2000 135628 1jpg,2,0,14,1,34,7,2,0,0
easter,2,2,1,0,0,1,0,0,0
6,0,2,1,1,1,0,0,0,0
38 dishes to make when you re asked to bring a plate https //imgtastecomau/ 0a7ywsz/w354 h236 cfill q80/taste/2020/01/cheesypullapart 157824 1jpg,0,0,20,1,25,5,6,0,0
/assets/static/icons/taste gallery whitesvg,2,0,3,0,0,3,0,0,0
38 dishes to make when you re asked to bring a plate,2,2,12,1,2,2,4,0,0
7 140 recipes,0,2,3,1,4,1,0,0,0
easy easter entertaining https //imgtastecomau/tv8yeuxj/w354 h236 cfill q80/taste/2017/02/chewypavlovawithcaramelandnutellafudgesauce 122754 2jpg,2,0,10,1,22,4,2,0,0
easy easter entertaining,2,2,3,0,0,1,1,0,0
8,0,2,1,1,1,0,0,0,0
top 100 easy dinner recipes https //imgtastecomau/ygpkcngk/w354 h236 cfill q80/taste/2016/11/beef shepherds pie 106408 1jpeg,0,0,14,1,24,6,2,0,0
/assets/static/icons/taste gallery whitesvg,2,0,3,0,0,3,0,0,0
top 100 easy dinner recipes,2,2,5,1,3,2,0,0,0
comments ratings,2,2,2,0,0,2,0,0,0
login to join the conversation don t have an account,0,2,10,0,0,5,2,0,0
sign up,2,0,2,0,0,1,0,0,0
view more,2,2,2,0,0,1,0,0,0
subscribe to our weekly newsletter,2,2,5,0,0,2,0,0,0
get a weekly round up of the latest recipes,1,2,9,0,0,2,1,0,0
dinner ideas tips from australia s 1 food site,0,1,9,1,1,5,1,0,0
footer image https //imgtastecomau/0 1fhyg8/taste/2022/04/footers,1,0,5,1,9,3,1,0,0
update2 177839 1png,0,1,3,1,8,0,0,0,0
footer image https //imgtastecomau/2 mottfo/taste/2022/04/footers,1,0,5,1,7,4,1,0,0
update 177840 1png,2,1,3,1,7,0,0,0,0
a note about relevant advertising,2,2,5,0,0,2,0,0,0
we collect information about the content including ads you use across this,1,2,12,0,0,3,3,0,0
site and use it to make both advertising and content more relevant to you on,1,1,15,0,0,3,2,0,0
our network and other sites this is also known as online behavioural,1,1,12,0,0,3,2,0,0
advertising you can find out more about our policy and your choices,1,1,12,0,0,3,1,0,0
including how to opt out here taste may receive an affiliate commission if,1,1,13,0,0,3,3,0,0
you buy through our links learn more,2,1,7,0,0,1,2,0,0
copyright 2022 newslifemedia all rights reserved,2,2,6,1,4,2,1,0,0
privacy policy,1,2,2,0,0,2,0,0,0
relevant ads opt out,1,1,4,0,0,1,1,0,0
cookie policy,1,1,2,0,0,2,0,0,0
about us,1,1,2,0,0,0,0,0,0
faq,1,1,1,0,0,1,0,0,0
advertise,1,1,1,0,0,1,0,0,0
legal notices,1,1,2,0,0,1,0,0,0
contact us,1,1,2,0,0,1,0,0,0
