Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
3,2,2,1,1,1,0,0,0,0
3,0,2,1,1,1,0,0,0,0
french onion sausage rolls https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,0,0,10,1,14,5,1,0,0
/assets/static/icons/playsvg,2,0,1,0,0,1,0,0,0
french onion sausage rolls,2,2,4,0,0,3,0,0,0
4,2,2,1,1,1,0,0,0,0
4,0,2,1,1,1,0,0,0,0
lemon flummery slice https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,0,0,9,1,14,6,0,1,0
/assets/static/icons/playsvg,2,0,1,0,0,1,0,0,0
lemon flummery slice,2,2,3,0,0,2,0,1,0
5,2,2,1,1,1,0,0,0,0
5,0,2,1,1,1,0,0,0,0
lemon drop easter egg tarts https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,11,1,14,6,1,0,0
lemon drop easter egg tarts,2,2,5,0,0,4,0,0,0
1,2,2,1,1,1,0,0,0,0
6,0,2,1,1,1,0,0,0,0
country style chicken rissoles https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,10,1,14,6,1,0,0
country style chicken rissoles,2,2,4,0,0,4,0,0,0
3,2,2,1,1,1,0,0,0,0
7,0,2,1,1,1,0,0,0,0
vegetarian mexican torta https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,9,1,14,5,0,0,0
vegetarian mexican torta,2,2,3,0,0,1,0,0,0
17,2,2,1,1,2,0,0,0,0
8 budget,0,2,2,1,1,1,0,0,0
basic baked,1,0,2,0,0,0,1,0,0
cheesecake https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,1,7,1,14,5,0,0,0
basic baked cheesecake,2,2,3,0,0,1,1,0,0
57,2,2,1,1,2,0,0,0,0
9,0,2,1,1,1,0,0,0,0
chocolate cake https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,8,1,14,6,0,0,0
chocolate cake,2,2,2,0,0,2,0,0,0
3,2,2,1,1,1,0,0,0,0
10,0,2,1,1,2,0,0,0,0
custard powder biscuits https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,0,0,9,1,14,5,1,0,0
/assets/static/icons/playsvg,2,0,1,0,0,1,0,0,0
custard powder biscuits,2,2,3,0,0,3,0,0,0
83,2,2,1,1,2,0,0,0,0
11,0,2,1,1,2,0,0,0,0
cauliflower and onion pickles https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,10,1,14,5,1,0,0
cauliflower and onion pickles,2,2,4,0,0,3,0,0,0
1,2,2,1,1,1,0,0,0,0
12,0,2,1,1,2,0,0,0,0
french onion soup mix https //imgbestrecipescomau/ijixcpq6/br/2020/08/img placeholder square 959538 1png,2,0,10,1,14,7,0,0,0
french onion soup mix,2,2,4,0,0,3,0,0,0
23,4,2,1,1,2,0,0,0,0
australia s,1,4,2,0,0,1,1,0,0
best recipes,2,1,2,0,0,1,0,0,0
did you know,2,2,3,0,0,0,2,0,0
a south australian couple launched australia s best recipes in 2005 as a way,1,2,14,1,4,3,1,0,0
to share the dishes they loved with friends and family thanks to home cooks,1,1,14,0,0,7,1,0,0
like you we re now the country s biggest recipe sharing site so get cooking,1,1,15,0,0,4,4,0,0
and send us your creations today,0,1,6,0,0,2,1,0,0
get involved /assets/static/images/getinvolvedsvg,0,0,3,0,0,1,2,0,0
save rate and review /assets/static/images/heartthumbpng,2,0,5,0,0,3,1,0,0
save rate and review,2,2,4,0,0,2,1,0,0
choose from over 15 000 recipes created by australia s best home cooks,0,2,13,1,5,5,1,0,0
submit your recipes /assets/static/images/recipepng,2,0,4,0,0,1,2,0,0
submit your recipes,2,2,3,0,0,1,1,0,0
got a ripper dish you want to share,0,2,8,0,0,2,2,0,0
send it to us today learn more,0,0,7,0,0,1,2,0,0
try products for free /assets/static/images/giftpng,2,0,5,0,0,3,0,0,0
try products for free,2,2,4,0,0,2,0,0,0
join our testers club to sample and review what s new,0,2,11,0,0,1,5,0,0
become a top cook /assets/static/images/cookspng,2,0,5,0,0,2,1,0,0
become a top cook,2,2,4,0,0,1,1,0,0
want to join our home cooks hall of fame,0,2,9,0,0,4,2,0,0
learn more,0,0,2,0,0,0,0,0,0
/assets/static/images/australias best recipessvg,2,0,3,0,0,1,0,0,0
a note about relevant advertising we collect information about the,1,2,10,0,0,3,1,0,0
content including ads you use across this site and use it to make both,1,1,14,0,0,3,4,0,0
advertising and content more relevant to you on our network and other sites,1,1,13,0,0,4,0,0,0
this is also known as online behavioural advertising you can find out more,1,1,13,0,0,1,3,0,0
about our policy and your choices including how to opt out here,2,1,12,0,0,2,2,0,0
easy dinners,1,2,2,0,0,1,0,0,0
budget,1,1,1,0,0,1,0,0,0
baking,1,1,1,0,0,1,0,0,0
entertaining,1,1,1,0,0,0,1,0,0
about us,2,1,2,0,0,0,0,0,0
news how tos,1,2,3,0,0,2,0,0,0
sampling,1,1,1,0,0,0,1,0,0
galleries,1,1,1,0,0,1,0,0,0
collections,1,1,1,0,0,1,0,0,0
code of conduct,2,1,3,0,0,2,0,0,0
privacy policy,1,2,2,0,0,2,0,0,0
advertising,1,1,1,0,0,1,0,0,0
cookie policy,1,1,2,0,0,2,0,0,0
terms,2,1,1,0,0,1,0,0,0
relevant ads opt out,1,2,4,0,0,1,1,0,0
contact us,1,1,2,0,0,1,0,0,0
faq,2,1,1,0,0,1,0,0,0
c 2022 newslifemedia all rights reserved,2,2,6,1,4,2,1,0,0
our most popular searches,2,2,4,0,0,1,0,0,0
slow cooker,1,2,2,0,0,1,0,0,0
baking,1,1,1,0,0,1,0,0,0
quiche,1,1,1,0,0,1,0,0,0
budget club,2,1,2,0,0,2,0,0,0
recipes,1,2,1,0,0,1,0,0,0
easy dinners,1,1,2,0,0,1,0,0,0
budget,1,1,1,0,0,1,0,0,0
baking,1,1,1,0,0,1,0,0,0
easter,1,1,1,0,0,1,0,0,0
hunger hacks,1,1,2,0,0,2,0,0,0
slow cooker recipes,1,1,3,0,0,2,0,0,0
submit a recipe,1,1,3,0,0,2,0,0,0
videos,2,1,1,0,0,1,0,0,0
log in / sign up,1,2,5,0,0,3,0,0,0
my cookbooks / edit profile / logout,1,1,7,0,0,5,1,0,0
submit a recipe,1,1,3,0,0,2,0,0,0
