Sentence,newline_after,newline_before,nwords,numbers,nnumbers,nnouns,nverbs,nunits ,label
closeup of a piece of oreo cake on a,1,0,9,0,0,3,0,0,0
plate data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20268 20268 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
closeup,1,0,1,0,0,1,0,0,0
of a piece of oreo cake on a plate https //thebestcakerecipescom/wp,1,1,11,0,0,5,0,0,0
content/uploads/2020/10/oreo snack cake 16jpg,0,1,4,1,8,3,0,0,0
closeup of a piece of oreo cake on a,1,0,9,0,0,3,0,0,0
plate data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20268 20268 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
closeup,1,0,1,0,0,1,0,0,0
of a piece of oreo cake on a plate https //thebestcakerecipescom/wp,1,1,11,0,0,5,0,0,0
content/uploads/2020/10/oreo snack cake 16jpg,2,1,4,1,8,3,0,0,0
chocolate oreo snack cake,2,2,4,0,0,4,0,0,0
no ratings yet,2,2,3,0,0,1,0,0,0
thick rich pound cake made in a small round pan,0,2,10,0,0,5,1,1,0
this homemade chocolate oreo,1,0,4,0,0,3,0,0,0
snack cake is loaded on top with chocolate oreo cookies,2,1,10,0,0,6,2,0,0
servings 8,2,2,2,1,1,1,0,0,0
prep time 10 minutes,2,2,4,1,2,2,0,0,0
cook time 55 minutes,2,2,4,1,2,3,0,0,0
print recipepin recipe0review recipe,2,2,4,1,1,4,0,0,0
cook modeprevent your screen from going dark,2,2,7,0,0,3,2,0,0
ingredients,4,2,1,0,0,1,0,0,0
for the cake,2,4,3,0,0,1,0,0,0
2 cups all purpose flour 240 grams,1,2,7,1,4,2,1,1,1
1 cup white sugar 200 grams,1,1,6,1,4,2,0,1,1
2/3 cup cacao powder 65 grams,1,1,6,1,4,4,0,1,1
1 tablespoon baking powder,1,1,4,1,1,3,0,1,1
1 cup whole milk,1,1,4,1,1,1,0,1,1
1 cup salted butter melted,1,1,5,1,1,2,2,1,1
1 tablespoon vanilla extract,1,1,4,1,1,3,0,1,1
3 large eggs,2,1,3,1,1,1,0,0,1
for the topping,2,2,3,0,0,1,0,0,0
20 oreos quartered,2,2,3,1,2,1,1,0,1
for the drizzle,2,2,3,0,0,1,0,0,0
1 cup dark chocolate chips,1,2,5,1,1,3,0,1,1
1/2 cup heavy cream,2,1,4,1,2,2,0,1,1
instructions,4,2,1,0,0,1,0,0,0
preheat the oven to 375 fahrenheit / 190 celsius and line a baking tray with parchment paper grease a 9 springform pan with butter or cooking spray,2,4,27,1,7,14,1,0,0
in a large mixing bowl add flour sugar cacao powder and baking powder combine all together with a whisk make a well in the middle and pour milk add melted butter vanilla extract and eggs mix with a wooden spoon just until combined,2,2,43,0,0,14,4,0,0
pour the batter into the springform and spread evenly top with oreos press gently to make oreo stick to the batter,2,2,21,0,0,6,1,0,0
place springform on the baking tray and bake in the oven for 55 minutes or until a skewer comes out clean from the cake,2,2,24,1,2,9,1,0,0
melt one cup of chocolate chips and cup of heavy cream in a microwave safe bowl for 30 seconds stir well and microwave in 10 second intervals until the mixture is smooth and silky drizzle over the cake,2,2,38,1,4,13,2,1,0
remove from the oven and let it completely cool down before serving,2,2,12,0,0,2,3,0,0
notes,2,2,1,0,0,1,0,0,0
spoon the flour into the measuring cup lightly and use a knife to level it off if you pack it in the cake may be dry,2,2,26,0,0,5,4,1,0
the calories shown are based on the cake being cut into 8 pieces with 1,1,2,15,1,2,3,5,0,0
serving being 1 slice of cake since different brands of ingredients have,1,1,12,1,1,4,3,1,0
different nutritional information the calories shown are just an estimate,1,1,10,0,0,3,2,0,0
we are not dietitians and recommend you seek a nutritionist for exact,1,1,12,0,0,3,3,0,0
nutritional information,4,1,2,0,0,1,0,0,0
nutrition,2,4,1,0,0,1,0,0,0
calories 647kcal carbohydrates 81g protein 10g fat 34g saturated,1,2,9,1,9,2,1,0,0
fat 19g cholesterol 125mg sodium 409mg potassium 441mg fiber 4g,1,1,10,1,12,4,0,0,0
sugar 42g vitamin a 848iu calcium 137mg iron 6mg,2,1,9,1,9,4,0,0,0
author julie clark,2,2,3,0,0,3,0,0,0
course dessert,2,2,2,0,0,2,0,0,0
cuisine american,2,2,2,0,0,0,0,0,0
calories 647,2,2,2,1,3,1,0,0,0
keyword chocolate cake easy cake,2,2,5,0,0,4,0,0,0
have you tried this recipe,0,2,5,0,0,1,2,0,0
share a review below or share on instagram with the tag tastesoflizzyt,2,0,12,0,0,6,0,0,0
other chocolate cake recipes,2,2,4,0,0,3,0,0,0
you can never go wrong with a slice of chocolate cake,0,2,11,0,0,3,1,1,0
piece of chocolate praline cake with a bite missing data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,24,1,27,7,4,0,0
piece of chocolate praline cake with a bite missing https //thebestcakerecipescom/wp content/uploads/2020/10/praline chocolate cake 20jpg chocolate praline cake,0,0,18,1,8,11,3,0,0
sliced flourless chocolate loaf cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,20,1,27,6,3,1,0
sliced flourless chocolate loaf cake https //thebestcakerecipescom/wp content/uploads/2020/09/flourless chocolate loaf cake 7jpg chocolate loaf cake,0,0,15,1,7,9,3,1,0
slice of zucchini bundt cake on a plate data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,23,1,27,6,2,1,0
slice of zucchini bundt cake on a plate https //thebestcakerecipescom/wp content/uploads/2020/08/dark chocolate zucchini cake 13jpg zucchini cake,0,0,17,1,8,12,0,1,0
slices of chocolate banana cake on a plate data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,23,1,27,6,3,1,0
slices of chocolate banana cake on a plate https //thebestcakerecipescom/wp content/uploads/2020/06/chocolatebananacake 31jpg roasted banana cake,0,0,15,1,8,7,4,1,0
sourdough chocolate cake with one slice missing data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,22,1,27,6,3,1,0
sourdough chocolate cake with one slice missing https //thebestcakerecipescom/wp content/uploads/2020/05/chocolate sourdough cake 22jpg chocolate sourdough cake,0,0,16,1,8,9,3,1,0
raspberries and blueberries on a chocolate cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,22,1,27,6,2,0,0
raspberries and blueberries on a chocolate cake https //thebestcakerecipescom/wp content/uploads/2020/05/keto chocolate cake 8jpg keto chocolate cake,0,0,16,1,7,11,1,0,0
chocolate frosting on chocolate cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 201024 201024 3e 3c/svg 3e,0,0,20,1,29,6,2,0,0
chocolate frosting on chocolate cake https //thebestcakerecipescom/wp content/uploads/2020/04/mayonnaise cake bestcakes 12 1024x1024jpg chocolate crazy cake,0,0,15,1,16,11,1,0,0
chocolate peanut butter bundt cake from cake mix data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,23,1,27,8,3,0,0
chocolate peanut butter bundt cake from cake mix https //thebestcakerecipescom/wp content/uploads/2020/04/chocolate peanut butter bundt cake cakerecipes 9jpg chocolate peanut butter bundt cake,0,0,22,1,7,17,2,0,0
whole wheat chocolate chiffon cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20800 20800 3e 3c/svg 3e,0,0,20,1,27,6,3,0,0
whole wheat chocolate chiffon cake https //thebestcakerecipescom/wp content/uploads/2019/12/whole wheat chocolate chiffon cake 26jpg whole wheat chiffon cake,0,0,17,1,8,10,3,0,0
2 layer barley flour chocolate cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20720 20720 3e 3c/svg 3e,0,0,21,1,28,7,2,0,0
2 layer barley flour chocolate cake https //thebestcakerecipescom/wp content/uploads/2019/08/barley flour chocolate cake 15jpg chocolate barley cake,0,0,16,1,9,11,2,0,0
piece of chocolate chip cookie dough cake on a plate data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20720 20720 3e 3c/svg 3e,0,0,25,1,27,8,2,0,0
piece of chocolate chip cookie dough cake on a plate https //thebestcakerecipescom/wp content/uploads/2019/06/cookie dough cake recipe 12jpg cookie dough cake,0,0,20,1,8,14,1,0,0
4 ingredient chocolate cherry cake closeup data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20720 20720 3e 3c/svg 3e,0,0,21,1,28,5,3,0,0
4 ingredient chocolate cherry cake closeup https //thebestcakerecipescom/wp content/uploads/2019/06/4 ingredient chocolate cherry cake 2jpg chocolate cherry cake,0,0,17,1,9,10,4,0,0
a close up of a plate of birthday cake with chocolate frosting and sprinkles data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,29,1,27,8,2,0,0
a close up of a plate of birthday cake with chocolate frosting and sprinkles https //thebestcakerecipescom/wp content/uploads/2019/02/chocolate mayonnaise cake recipe 3jpg chocolate mayonnaise cake,0,0,24,1,7,12,1,0,0
chocolate cake with peanut butter frosting with a fork data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,24,1,27,7,3,0,0
chocolate cake with peanut butter frosting with a fork https //thebestcakerecipescom/wp content/uploads/2019/01/chocolate cake with peanut butter frosting 8jpg chocolate peanut butter cake,0,0,22,1,7,15,2,0,0
slice of chocolate cheesecake on a plate data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,22,1,27,6,2,1,0
slice of chocolate cheesecake on a plate https //thebestcakerecipescom/wp content/uploads/2019/01/instant pot chocolate cheesecake recipe 3jpg chocolate cheesecake,0,0,17,1,7,13,0,1,0
how to make gluten free cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,21,1,27,3,3,0,0
how to make gluten free cake https //thebestcakerecipescom/wp content/uploads/2018/09/gluten free chocolate cake recipe 4jpg gluten free chocolate cake,0,0,18,1,7,8,2,0,0
sour cream chocolate cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,19,1,27,5,2,0,0
sour cream chocolate cake https //thebestcakerecipescom/wp content/uploads/2018/05/sour cream chocolate cake recipe 8jpg sour cream chocolate cake,0,0,16,1,7,13,0,0,0
easy mint chocolate cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,19,1,27,5,2,0,0
easy mint chocolate cake https //thebestcakerecipescom/wp content/uploads/2018/03/mint chocolate cake tbcr 3jpg mint oreo cake,0,0,14,1,7,11,1,0,0
rich chocolate potato cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20300 20300 3e 3c/svg 3e,0,0,19,1,27,5,3,0,0
rich chocolate potato cake https //thebestcakerecipescom/wp content/uploads/2018/01/chocolate potato cake recipe 300 1jpg chocolate potato cake,0,0,15,1,10,8,3,0,0
easy cake recipe with only egg whites data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20300 20300 3e 3c/svg 3e,0,0,22,1,27,7,2,0,0
easy cake recipe with only egg whites https //thebestcakerecipescom/wp content/uploads/2017/12/chocolate angel food cake recipe 1jpg chocolate angel food cake,0,0,19,1,7,13,1,0,0
how to make german chocolate cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20300 20300 3e 3c/svg 3e,0,0,21,1,27,4,3,0,0
how to make german chocolate cake https //thebestcakerecipescom/wp content/uploads/2017/11/german chocolate cake recipe 300 1jpg german chocolate cake,0,0,17,1,10,9,2,0,0
chocolate cherry cake with chocolate cherry frosting data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,22,1,27,7,4,0,0
chocolate cherry cake with chocolate cherry frosting https //thebestcakerecipescom/wp content/uploads/2017/11/chocolate cherry cake recipe 4jpg chocolate cherry cake,0,0,17,1,7,8,4,0,0
easy chocolate bundt cake recipe data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,20,1,27,5,3,0,0
easy chocolate bundt cake recipe https //thebestcakerecipescom/wp content/uploads/2017/10/triple chocolate bundt cake recipe 1jpg triple chocolate bundt cake,0,0,17,1,7,9,3,0,0
a close up of a piece of chocolate cake on a plate with dark chocolate and buttercream data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20640 20640 3e 3c/svg 3e,0,0,32,1,27,7,2,0,0
a close up of a piece of chocolate cake on a plate with dark chocolate and buttercream https //thebestcakerecipescom/wp content/uploads/2017/05/dark chocolate cake recipe 16jpg dark chocolate cake,2,0,27,1,8,13,0,0,0
facebook0pin0tweet0print0email0,2,2,1,1,5,1,0,0,0
about julie clark,2,2,3,0,0,2,0,0,0
read more,2,2,2,0,0,0,1,0,0
you might also like,0,2,4,0,0,0,1,0,0
a slice of chocolate chip carrot cake with whipped cream on a,1,0,12,0,0,5,1,1,0
plate data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20150 20150 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
a,1,0,1,0,0,0,0,0,0
slice of chocolate chip carrot cake with whipped cream on a,1,1,11,0,0,5,1,1,0
plate https //thebestcakerecipescom/wp content/uploads/2022/03/chocolate,1,1,4,1,6,4,0,0,0
chip carrot cake 1200 150x150jpg,2,1,5,1,10,2,1,0,0
cakes,2,2,1,0,0,1,0,0,0
chocolate chip carrot cake,0,2,4,0,0,4,0,0,0
lemon blueberry angel dessert with cool,1,0,6,0,0,4,1,0,0
whip data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20150 20150 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
lemon,1,0,1,0,0,1,0,0,0
blueberry angel dessert with cool whip https //thebestcakerecipescom/wp,1,1,8,0,0,5,1,0,0
content/uploads/2022/03/blueberry lemon angel dessert 1200 150x150jpg,2,1,6,1,16,3,0,0,0
angel food cake,2,2,3,0,0,2,0,0,0
blueberry lemon angel dessert,0,2,4,0,0,3,0,0,0
closeup of a purple ombre,1,0,5,0,0,2,0,0,0
cake data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20150 20150 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
closeup,1,0,1,0,0,1,0,0,0
of a purple ombre cake https //thebestcakerecipescom/wp,1,1,7,0,0,3,0,0,0
content/uploads/2022/02/purple ombre cake 1200 150x150jpg,2,1,5,1,16,2,1,0,0
layer cakes,2,2,2,0,0,2,0,0,0
purple ombre cake,0,2,3,0,0,1,1,0,0
valentine s day layer cake with a sparkler on,1,0,9,0,0,3,1,0,0
top data image/svg xml 3csvg 20xmlns http //wwww3org/2000/svg 20viewbox 0 200 20150 20150 3e 3c/svg 3e,0,1,16,1,27,3,2,0,0
valentine s,1,0,2,0,0,2,0,0,0
day layer cake with a sparkler on top https //thebestcakerecipescom/wp,1,1,10,0,0,5,1,0,0
content/uploads/2022/01/valentines day layer cake 1200 150x150jpg,2,1,6,1,16,3,1,0,0
cakes,2,2,1,0,0,1,0,0,0
valentine s day layer cake,2,2,5,0,0,2,1,0,0
join the discussion,2,2,3,0,0,1,1,0,0
subscribe,2,2,1,0,0,1,0,0,0
login,2,2,1,0,0,1,0,0,0
notify of,2,2,2,0,0,1,0,0,0
new follow up comments new replies to my comments,2,2,9,0,0,3,1,0,0
label,2,2,1,0,0,1,0,0,0
recipe rating recipe rating,1,2,4,0,0,4,0,0,0
name,2,1,1,0,0,1,0,0,0
email,2,2,1,0,0,1,0,0,0
website,2,2,1,0,0,1,0,0,0
label,2,2,1,0,0,1,0,0,0
recipe rating recipe rating,1,2,4,0,0,4,0,0,0
name,2,1,1,0,0,1,0,0,0
email,2,2,1,0,0,1,0,0,0
website,2,2,1,0,0,1,0,0,0
0 comments,2,2,2,1,1,1,0,0,0
inline feedbacks,2,2,2,0,0,2,0,0,0
view all comments,2,2,3,0,0,2,0,0,0
the best cake recipes,2,2,4,0,0,2,0,0,0
home,1,2,1,0,0,1,0,0,0
cakes,1,1,1,0,0,1,0,0,0
baking tips,1,1,2,0,0,1,1,0,0
cookbooks,2,1,1,0,0,1,0,0,0
privacy policy,1,2,2,0,0,2,0,0,0
contact,1,1,1,0,0,1,0,0,0
about us,2,1,2,0,0,0,0,0,0
c the best cake recipes 2022 all rights reserved disclosure policy,1,2,11,1,4,5,2,0,0
privacy policy,2,1,2,0,0,2,0,0,0
wpdiscuz,2,2,1,0,0,1,0,0,0
0,2,2,1,1,1,0,0,0,0
0,2,2,1,1,1,0,0,0,0
we d love to hear your thoughts please comment,0,2,9,0,0,2,4,0,0
x,2,0,1,0,0,1,0,0,0
x,2,2,1,0,0,1,0,0,0
reply,2,2,1,0,0,1,0,0,0
insert,2,2,1,0,0,1,0,0,0
share this articlelike this article,0,2,5,0,0,3,0,0,0
email it to a friend,0,0,5,0,0,2,0,0,0
friend s email address,2,0,4,0,0,2,1,0,0
your name,2,2,2,0,0,1,0,0,0
your email address,2,2,3,0,0,2,0,0,0
comments,2,2,1,0,0,1,0,0,0
send email,2,2,2,0,0,2,0,0,0
